"Symbol","Sector","Year","Eps","PE","Asst/Shr","Profit","Divid%","Div.Yield"
"1JANATAMF","MutualFunds","2023","-0.32","","9.78","-92.55","",""
"1JANATAMF","MutualFunds","2022","0.24","26.47","10.8","70.1","7","10.94"
"1JANATAMF","MutualFunds","2021","2.54","2.76","11.94","735.56","13","18.57"
"1JANATAMF","MutualFunds","2020","-1.26","-3.25","9.32","-365.78","",""
"1JANATAMF","MutualFunds","2019","0.28","16.99","10.88","81.92","3","6.25"
"1JANATAMF","MutualFunds","2018","0.84","6.2","11.36","231.58","2","3.23"
"1JANATAMF","MutualFunds","2017","1.16","6.27","12.06","297.18","2","2.74"
"1JANATAMF","MutualFunds","2016","0.55","9.09","11.19","133.42","",""
"1JANATAMF","MutualFunds","2015","1.04","4.62","11.33","231.29","",""
"1JANATAMF","MutualFunds","2014","1.76","3.99","11.43","351.59","",""
"1JANATAMF","MutualFunds","2013","0.78","8.72","9.67","156.59","",""
"1JANATAMF","MutualFunds","2012","-1.23","","8.89","-246.39","",""
"1JANATAMF","MutualFunds","2011","0.98","","10.17","195.1","",""
"1STICB","MutualFunds","2015","142.73","7.91","1521.5","107.05","1000","8.86"
"1STICB","MutualFunds","2014","102.19","8.93","1550.1","76.64","800","8.76"
"1STICB","MutualFunds","2013","75.63","12.32","942.3","56.73","700","7.51"
"1STICB","MutualFunds","2012","70.73","12.47","1096.75","53.05","600","6.8"
"1STICB","MutualFunds","2011","64.7","16.17","1104.71","48.52","500","4.78"
"1STICB","MutualFunds","2010","56.44","15.42","1027.76","42.33","400","5"
"1STICB","MutualFunds","2009","38.52","15.01","617.22","28.89","310","5.36"
"1STICB","MutualFunds","2008","33.1","24.08","446.12","24.83","265","3.32"
"1STICB","MutualFunds","2007","24.08","14.26","321.76","12.04","190","5.53"
"1STICB","MutualFunds","2006","22.97","11.62","226.95","11.49","210","7.87"
"1STICB","MutualFunds","2005","20.34","12.85","53.07","10.17","210","8.03"
"1STICB","MutualFunds","2004","19.09","14.41","53.73","9.54","200","7.27"
"1STICB","MutualFunds","2003","15.42","12.54","54.64","7.71","180","9.31"
"1STICB","MutualFunds","2002","19.76","7.74","57.21","9.88","175","11.44"
"1STICB","MutualFunds","2001","16.99","9.42","54.95","8.49","170","10.63"
"1STICB","MutualFunds","2000","23.33","6.3","54.97","11.66","125","8.5"
"1STPRIMFMF","MutualFunds","2022","0.08","199.93","14.26","1.65","11","6.67"
"1STPRIMFMF","MutualFunds","2021","1.4","14.1","15.17","28.08","10","5.05"
"1STPRIMFMF","MutualFunds","2020","0.38","51.41","11.62","7.59","8","4.1"
"1STPRIMFMF","MutualFunds","2019","0.77","15.96","8.96","15.41","7","5.69"
"1STPRIMFMF","MutualFunds","2018","0.97","11.13","11.52","19.4","8.5","7.87"
"1STPRIMFMF","MutualFunds","2017","1.17","12.94","17.61","23.34","8.5","5.63"
"1STPRIMFMF","MutualFunds","2016","0.71","17.75","16.54","14.21","6","4.76"
"1STPRIMFMF","MutualFunds","2015","0.53","19.81","16.33","10.55","5","4.76"
"1STPRIMFMF","MutualFunds","2014","0.93","17.63","11.59","18.63","10","6.1"
"1STPRIMFMF","MutualFunds","2013","1.02","24.9","11.52","20.46","10","3.94"
"1STPRIMFMF","MutualFunds","2012","0.64","44.69","11.63","12.87","10","3.5"
"1STPRIMFMF","MutualFunds","2011","2.2","9.95","16.03","44.08","10","4.57"
"1STPRIMFMF","MutualFunds","2010","2.83","14.98","26.31","56.57","20","4.72"
"1STPRIMFMF","MutualFunds","2009","1.4","14.98","16.19","28.06","20","4.72"
"2NDICB","MutualFunds","2015","55.89","5.05","300.28","27.95","450","15.94"
"2NDICB","MutualFunds","2014","49.27","5.38","307.21","24.64","400","15.09"
"2NDICB","MutualFunds","2013","44.1","6.93","253.11","22.05","375","12.27"
"2NDICB","MutualFunds","2012","36.05","5.27","243.59","18.02","300","15.79"
"2NDICB","MutualFunds","2011","33.02","12.19","291.83","16.51","250","6.21"
"2NDICB","MutualFunds","2010","25.48","10.12","297.21","12.74","200","8"
"2NDICB","MutualFunds","2009","13.55","16.56","148.4","6.78","95","4.23"
"2NDICB","MutualFunds","2008","10.71","31.46","100.55","5.36","75","2.22"
"2NDICB","MutualFunds","2007","7.62","11.83","48.03","3.81","62","6.89"
"2NDICB","MutualFunds","2006","6.61","10.9","27.81","3.3","55","7.64"
"2NDICB","MutualFunds","2005","8.08","9.57","26.7","4.04","55","7.12"
